OBJECTID,LAYER,GLOBALID,REFNAME,Shape_Length,Shape_Area,CREATED_DATE,LAST_EDITED_DATE
1,T-DRF-STATION PLATFORM,{FEE2BB02-F231-47D8-B69A-118058A9906E},LEITRIM,234.028676858372,400.399666465924,2021/01/22 12:38:18+00,2021/03/08 13:11:20+00
2,T-DRF-STATION PLATFORM,{87CA0509-DD08-4901-9871-5227F1BCEBC0},MOONEY'S BAY,134.139513601938,218.105058313867,2021/01/22 12:38:18+00,2021/03/08 13:12:25+00
3,T-DRF-STATION PLATFORM,{2743F093-68FD-4E7D-9ED5-22DDDAC8D191},CARLETON,134.672752460232,218.5612172772,2021/01/22 12:38:18+00,2021/03/08 13:07:45+00
4,T-DRF-STATION PLATFORM2,{D8AD0EF5-378D-4C21-9824-6FE37B625584},MOONEY'S BAY,114.548954241661,182.29484473208,2021/01/22 12:38:18+00,2021/03/08 13:12:20+00
5,T-DRF-STATION PLATFORM,{E7E43C6F-62D0-4E24-B318-A7EC9253D697},LEITRIM,234.028750853005,400.402082876154,2021/01/22 12:38:18+00,2021/03/08 13:11:14+00
6,T-DRF-STATION PLATFORM,{E6F5C8CD-B7B1-44F1-9DB6-F4F030E5EC88},UPLANDS,127.943607911368,199.999962528976,2021/01/22 12:38:18+00,2021/03/08 13:13:50+00
7,T-DRF-STATION PLATFORM,{2564CC49-600F-4C63-9482-7F20409DEC5C},LIMEBANK,233.471237473565,400.399767505934,2021/01/22 12:38:18+00,2021/03/08 13:11:32+00
8,T-DRF-STATION PLATFORM2,{3C516033-E826-49D0-9248-F384C1A58EEF},CARLETON,114.528716725071,181.840776968946,2021/01/22 12:38:18+00,2021/03/08 13:07:56+00
9,T-DRF-STATION PLATFORM,{AB8820F4-5C28-4EC8-A60C-23C79A770FAC},CORSO ITALIA,234.160678586164,400.401265526076,2021/01/22 12:38:18+00,2021/03/08 13:09:35+00
10,T-DRF-STATION PLATFORM,{2B5971A5-160D-41B7-991B-1D500DAF95EC},GREENBORO,134.298370204701,221.342779431434,2021/01/22 12:38:18+00,2021/03/08 13:10:53+00
11,T-DRF-STATION PLATFORM,{FC97B15E-2573-4197-BD0F-2E543881B6DD},UPLANDS,127.943308847238,199.999709398952,2021/01/22 12:38:18+00,2021/03/08 13:13:45+00
12,T-DRF-STATION PLATFORM,{FE30CD44-BA2C-4B42-94BB-DFE2A24AC589},WALKLEY,234.052109790916,400.400825591035,2021/01/22 12:38:18+00,2021/03/08 13:14:34+00
13,T-DRF-STATION PLATFORM,{700F7AFC-A1F5-43B2-BFA0-CFE8816F41E2},CARLETON,134.634358016064,218.491674895594,2021/01/22 12:38:18+00,2021/03/08 13:07:49+00
14,T-DRF-STATION PLATFORM,{85B7F7A3-9461-48EE-803F-D27D3B9ACE98},BAYVIEW,234.176005366315,400.399417705901,2021/01/22 12:38:18+00,2021/03/08 13:07:04+00
15,T-DRF-STATION PLATFORM,{A1F0AFD1-D5DB-4CF5-8CB6-2D833807AF4E},SOUTH KEYS,242.997004342063,639.096660785921,2021/01/22 12:38:18+00,2021/03/08 13:13:36+00
16,T-DRF-STATION PLATFORM2,{4BF2B98A-03F1-426E-B190-792D42281A17},CARLETON,114.566882750933,181.90777681031,2021/01/22 12:38:18+00,2021/03/08 13:07:51+00
17,T-DRF-STATION PLATFORM,{3C2B90EF-E4B2-45A6-AA23-BD04B961D96D},BOWESVILLE,233.523134934758,400.39993227095,2021/01/22 12:38:18+00,2021/03/08 13:07:26+00
18,T-DRF-STATION PLATFORM,{5C00DC0F-656F-4390-99CE-2B095E1DDFA5},BAYVIEW,234.176357142922,400.397558285724,2021/01/22 12:38:18+00,2021/03/08 13:07:07+00
19,T-DRF-STATION PLATFORM,{4C72925D-E083-4464-90EC-4F8DABA1745D},LIMEBANK,233.471785123157,400.399767505934,2021/01/22 12:38:18+00,2021/03/08 13:11:40+00
20,T-DRF-STATION PLATFORM2,{92EEBE74-241E-45CC-A6A5-FA64122174D5},GREENBORO,114.394373489478,176.035332337458,2021/01/22 12:38:18+00,2021/03/08 13:10:48+00
21,T-DRF-STATION PLATFORM,{44C3B84C-1257-45DA-B24A-F4677D9888A9},CORSO ITALIA,234.160821297756,400.401265526076,2021/01/22 12:38:18+00,2021/03/08 13:09:40+00
22,T-DRF-STATION PLATFORM,{C5D8E80A-8E0B-4066-951E-657F5993DB05},BOWESVILLE,233.522802896204,400.398238965789,2021/01/22 12:38:18+00,2021/03/08 13:07:32+00
23,T-DRF-STATION PLATFORM,{F21DBCAF-92F0-4B5B-9BFD-49949DF03A12},AIRPORT,128.171061797439,200.001046579079,2021/01/22 12:38:18+00,2021/03/08 13:06:14+00
24,T-DRF-STATION PLATFORM,{E0905558-C59A-4D2B-A49C-C21D7D767730},DOW'S LAKE,134.571709031836,218.421666333943,2021/01/22 12:38:18+00,2021/03/08 13:10:35+00
25,STATION PLATFORM,{6C0E219B-566E-42E6-9A72-EF72874279AF},IRIS,265.466169511326,287.970249295704,2020/05/21 16:05:10+00,2020/05/21 16:08:01+00
26,STATION PLATFORM,{54297372-AF3D-44FD-9B29-AEA08661637F},WESTBORO,274.468368939706,501.082706070299,2020/05/21 16:05:10+00,2020/05/21 16:07:01+00
27,STATION PLATFORM,{515DE71D-A3C3-4037-A819-20099C1E4F0A},QUEENSVIEW,276.410025736595,642.686914431976,2020/05/21 16:05:10+00,2020/05/21 16:06:46+00
28,STATION PLATFORM,{1A7DF07B-232A-487C-B4BA-2729704E7AE3},MOODIE,271.246108032246,491.403821700855,2020/05/21 16:05:10+00,2020/05/21 16:07:31+00
29,STATION PLATFORM,{BF801FE2-B906-4019-9855-4B32146ECEEC},IRIS,266.096745475173,307.098950532833,2020/05/21 16:05:10+00,2020/05/21 16:07:55+00
30,STATION PLATFORM,{4F24A558-51BE-4CBC-8D1A-C90C2DBB510E},SHERBOURNE,364.91661062593,972.002902670314,2020/05/21 16:05:10+00,2021/03/08 13:08:52+00
31,STATION PLATFORM,{0499E095-CE5B-4212-91CD-121A11529579},LINCOLN FIELDS,310.724193425736,899.997711235189,2020/05/21 16:05:10+00,2020/05/21 16:07:27+00
32,STATION PLATFORM,{65F047DF-8D0D-49B7-B266-176883702E0C},JEANNE D'ARC,313.478582287047,1000.0043029103,2020/05/21 16:05:10+00,2020/05/21 16:08:41+00
33,STATION PLATFORM,{F4C61A76-7B28-4B4A-BD83-1616FD16CD42},KÌCHÌ SÌBÌ,268.097573249972,372.110703918617,2020/05/21 16:05:10+00,2021/11/02 14:35:38+00
34,STATION PLATFORM,{CE1DF993-50DB-4737-B272-4DC6CF78283C},LINCOLN FIELDS,296.513902534787,399.999100197873,2020/05/21 16:05:10+00,2020/05/21 16:08:27+00
35,STATION PLATFORM,{F51F084E-679A-40CB-8012-8B65EAA5DEFC},KÌCHÌ SÌBÌ,268.314685014653,378.891882162795,2020/05/21 16:05:10+00,2021/11/02 14:39:37+00
36,STATION PLATFORM,{33392A4C-F526-4F94-8D06-342186B71D5C},BAYSHORE,286.99249295658,626.742979202384,2020/05/21 16:05:10+00,2020/05/21 16:08:13+00
37,STATION PLATFORM,{3FF962A8-06B2-4F42-AEE4-5155145FB664},NEW ORCHARD,364.928215339755,971.619316728876,2020/05/21 16:05:10+00,2020/05/21 16:07:22+00
38,STATION PLATFORM,{3C5DCACA-75D5-43EA-95AC-25AB1A6F6C4B},WESTBORO,275.347759205917,526.455374455573,2020/05/21 16:05:10+00,2020/05/21 16:06:56+00
39,STATION PLATFORM,{41CC0557-3783-4A8E-BC67-28F4917BA08B},CONVENT GLEN,313.498665483136,999.998934449794,2020/05/21 16:05:10+00,2021/03/08 13:12:49+00
40,STATION PLATFORM,{1EE18597-64C5-4C97-880B-8B5F431E0791},PINECREST,281.438828719737,800.99998898091,2020/05/21 16:05:10+00,2020/05/21 16:08:22+00
41,STATION PLATFORM,{A9C5617C-9371-4E99-B1C6-615616453088},TRIM,285.163689131528,900.00573034595,2020/05/21 16:05:10+00,2020/05/21 16:07:36+00
42,STATION PLATFORM,{75A6B29C-E5D5-4108-87B4-DD4DBFABA571},MOODIE,275.49670430345,625.654237838959,2020/05/21 16:05:10+00,2020/05/21 16:08:09+00
43,STATION PLATFORM,{F65FD659-8E2D-45A8-9669-2AB098A3B5CF},ALGONQUIN,316.656828834062,1117.15344847388,2020/05/21 16:05:10+00,2021/03/08 13:06:34+00
44,STATION PLATFORM,{9AC504C5-3281-4FBA-9E1F-9B0D243E2314},QUEENSVIEW,276.382121806268,642.620512660669,2020/05/21 16:05:10+00,2020/05/21 16:06:52+00
45,STATION PLATFORM,{D31FF9AF-434B-4EEB-ABE0-66C9BB18F71E},MONTRÉAL,313.883955033767,1000.00777058563,2020/05/21 16:05:10+00,2020/05/21 17:31:39+00
46,STATION PLATFORM,{D226C9BF-E6E7-4C03-9DCF-3EE2E46EE3D5},PLACE D'ORLÉANS,286.019312682706,931.464936564414,2020/05/21 16:05:10+00,2020/05/21 16:08:46+00
47,STATION PLATFORM,{4CC2FA77-443F-4675-B0D1-9FFB8B4F9875},BAYSHORE,285.440771421103,614.101934086549,2020/05/21 16:05:10+00,2020/05/21 16:08:18+00
